State,murder,forcible_rape,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,population,Population,Race_White,Race_Black,Race_Asian,Race_Native,Race_Hispanic,Race_Multi,Alone_65,Under18,Over65,UnderHS,Ed_HSDiploma,Ed_SomeCollege,Ed_Assoc,Ed_Degree,Millions,PC_Basic_Ed,PC_Higher_Ed,PC_Public_Assist,PC_Medicaid,PC_Corrections,PC_Transportation,PC_Other,PC_Total
Alabama,8.2,34.3,141.4,247.8,953.8,2650.0,288.3,4.545049,9806370,65.35,25.38,1.08,0.53,3.79,1.45,4.45,23.69,13.73,13.78,30.74,21.41,8.5,25.58,19138,0.266,0.26,0.0,0.09,0.036,0.039,0.308,1.0
Alaska,4.8,81.1,80.9,465.1,622.5,2599.1,391.0,0.669488,1463090,62.24,3.0,5.12,14.02,5.37,7.09,2.69,26.43,7.74,7.22,28.12,26.7,8.53,29.42,7123,0.199,0.086,0.008,0.09,0.049,0.072,0.495,1.0
Arizona,7.5,33.8,144.4,327.4,948.4,2965.2,924.4,5.974834,14557434,50.77,3.28,2.34,3.54,26.04,3.0,3.93,25.51,13.75,12.87,23.83,25.16,8.62,29.52,23401,0.24,0.247,0.0,0.143,0.056,0.092,0.222,1.0
Arkansas,6.7,42.9,91.1,386.8,1084.6,2711.2,262.1,2.776221,6035608,72.02,14.82,1.18,0.67,6.17,1.89,4.49,24.44,14.32,13.41,33.94,22.32,7.14,23.19,18221,0.169,0.208,0.011,0.089,0.029,0.059,0.434,1.0
California,6.9,26.0,176.1,317.3,693.3,1916.5,712.8,35.795255,79024446,37.85,5.48,12.09,0.41,35.47,4.59,3.14,24.96,11.4,16.78,20.57,21.11,7.85,33.69,201372,0.26,0.082,0.027,0.176,0.078,0.071,0.306,1.0
Colorado,3.7,43.4,84.6,264.7,744.8,2735.2,559.5,4.66078,11517472,61.14,3.28,2.35,0.54,18.04,2.99,3.56,24.41,10.88,8.26,21.37,21.07,8.44,40.86,23645,0.234,0.173,0.002,0.186,0.04,0.063,0.303,1.0
Connecticut,2.9,20.0,113.0,138.6,437.1,1824.1,296.8,3.477416,7130574,71.42,9.4,3.76,0.19,13.44,2.6,4.57,22.87,14.17,9.37,26.83,16.75,7.72,39.32,25547,0.127,0.13,0.015,0.175,0.026,0.067,0.46,1.0
Delaware,4.4,44.7,154.8,428.2,688.9,2144.0,278.5,0.839906,1947528,60.26,19.18,2.91,0.29,7.52,2.45,4.15,22.89,14.49,9.98,31.3,18.88,7.86,31.98,8916,0.271,0.042,0.002,0.083,0.042,0.085,0.474,1.0
Florida,5.0,37.1,169.4,496.6,926.3,2658.3,423.3,17.783868,42955474,50.68,13.27,2.07,0.22,19.67,2.2,4.65,21.3,17.36,11.81,28.54,19.91,9.83,29.91,52269,0.256,0.153,0.002,0.198,0.059,0.135,0.197,1.0
Georgia,6.2,23.6,154.8,264.3,931.0,2751.1,490.2,9.097428,21234846,50.99,27.42,2.94,0.2,8.04,1.95,3.32,25.76,10.59,12.83,27.68,20.31,7.82,31.36,41493,0.265,0.2,0.0,0.086,0.04,0.061,0.348,1.0
Hawaii,1.9,26.9,78.5,147.8,767.9,3308.4,716.4,1.266117,2831744,21.85,1.41,36.25,0.2,8.53,22.65,3.4,22.34,14.34,8.03,27.35,20.91,10.73,32.98,14071,0.134,0.075,0.004,0.055,0.02,0.086,0.625,1.0
Idaho,2.4,40.4,18.6,195.4,564.4,1931.7,201.8,1.425862,3574130,73.65,0.5,1.04,0.98,9.84,2.18,3.67,27.38,12.37,9.25,27.29,26.01,9.85,27.59,6724,0.3,0.109,0.002,0.119,0.051,0.057,0.362,1.0
Illinois,6.0,33.7,181.7,330.2,606.9,2164.8,308.6,12.674452,25343642,64.46,14.46,4.58,0.15,16.0,2.29,4.38,24.41,12.51,10.77,25.92,20.54,8.06,34.72,58477,0.154,0.036,0.002,0.175,0.028,0.061,0.544,1.0
Indiana,5.7,29.6,108.6,179.9,697.6,2412.0,346.7,6.25312,13464438,78.52,8.65,1.51,0.21,5.79,1.9,4.26,24.84,12.91,11.18,33.27,20.18,8.74,26.64,22755,0.376,0.091,0.001,0.173,0.036,0.079,0.243,1.0
Iowa,1.3,27.9,38.9,223.3,606.4,2042.7,184.6,2.94945,6310140,85.61,2.75,1.67,0.27,4.8,1.69,4.82,23.93,14.75,7.89,30.81,20.93,11.54,28.84,16274,0.214,0.367,0.003,0.15,0.028,0.093,0.145,1.0
Kansas,3.7,38.4,65.3,280.0,689.2,2758.1,339.6,2.741771,5826628,76.56,5.58,2.3,0.79,10.3,2.95,4.39,25.49,13.1,9.07,25.83,22.96,8.67,33.47,14240,0.348,0.177,0.0,0.101,0.03,0.053,0.292,1.0
